"id"	"sex"	"beep"	"pa1"	"pa2"	"pa3"	"na1"	"na2"	"na3"	"na4"
82	"female"	25	6	5	6	2	4	3	1
82	"female"	26	5	3	4	3	4	2	1
82	"female"	27	5	5	4	3	4	3	1
82	"female"	28	6	5	4	5	5	4	1
82	"female"	30	7	5	7	2	2	1	1
82	"female"	31	7	6	6	2	2	2	1
82	"female"	32	7	7	7	3	2	1	1
82	"female"	33	7	6	5	3	2	3	1
82	"female"	35	7	6	6	4	2	2	1
82	"female"	36	7	4	4	4	4	4	1
83	"female"	2	7	7	3	1	3	2	1
83	"female"	3	7	7	4	1	1	1	1
83	"female"	5	7	7	4	1	1	2	1
83	"female"	6	5	7	4	1	1	1	1
83	"female"	7	4	5	1	2	2	3	1
83	"female"	8	7	7	4	1	1	1	1
83	"female"	9	5	7	3	1	1	1	1
83	"female"	10	7	7	3	1	1	1	1
83	"female"	12	6	6	3	1	2	2	1
83	"female"	13	7	7	4	1	1	1	1
83	"female"	16	7	7	3	1	1	1	1
83	"female"	17	5	7	3	1	1	1	1
83	"female"	18	5	6	2	1	2	2	1
83	"female"	19	6	5	2	2	1	1	1
83	"female"	20	5	7	3	1	2	1	1
83	"female"	22	7	7	3	1	1	1	1
83	"female"	23	7	7	4	1	1	1	1
83	"female"	25	6	7	3	1	1	1	1
83	"female"	27	5	7	2	1	2	1	1
83	"female"	28	7	7	3	1	1	1	1
83	"female"	31	7	7	3	1	1	1	1
83	"female"	32	6	7	2	1	2	1	1
83	"female"	34	7	7	5	1	1	1	1
83	"female"	36	4	6	1	1	1	1	1
83	"female"	38	6	7	3	1	1	1	1
83	"female"	40	7	7	4	1	1	1	1
84	"male"	3	6	5	5	2	1	1	1
84	"male"	5	6	3	6	1	1	1	1
84	"male"	6	7	4	5	2	1	1	1
84	"male"	7	6	1	4	2	2	2	1
84	"male"	8	6	4	5	1	3	1	1
84	"male"	9	5	2	3	5	4	2	2
84	"male"	10	7	5	5	2	1	1	1
84	"male"	12	7	3	4	3	2	1	1
84	"male"	13	5	2	4	2	2	1	1
84	"male"	15	6	2	4	3	2	1	1
84	"male"	16	6	1	4	2	1	1	1
84	"male"	17	5	3	5	2	2	2	2
84	"male"	18	4	1	3	2	2	2	1
84	"male"	19	6	4	4	2	3	1	1
84	"male"	21	6	4	4	3	3	1	1
84	"male"	22	7	3	5	3	4	2	1
84	"male"	23	6	4	4	3	2	1	1
84	"male"	24	6	3	4	2	3	3	1
84	"male"	25	6	3	5	1	1	1	1
84	"male"	26	5	4	5	4	2	1	1
84	"male"	27	4	4	5	1	2	1	1
84	"male"	28	6	3	4	3	2	1	1
84	"male"	29	5	3	4	3	2	1	1
84	"male"	31	6	3	5	3	3	1	1
84	"male"	32	5	3	4	1	2	1	1
84	"male"	33	6	3	5	2	2	1	1
84	"male"	36	6	4	5	1	1	1	1
84	"male"	37	7	4	5	1	2	1	1
84	"male"	38	5	3	4	1	3	1	1
84	"male"	39	5	2	3	2	3	1	2
84	"male"	40	7	2	4	2	2	1	1
85	"female"	1	3	7	3	4	2	3	2
85	"female"	2	4	7	1	4	2	2	3
85	"female"	3	1	6	1	6	4	4	2
85	"female"	5	2	7	2	5	2	3	3
85	"female"	6	2	5	1	3	3	4	2
85	"female"	7	4	7	3	2	2	3	2
85	"female"	8	4	7	4	3	2	3	1
85	"female"	9	1	6	1	5	2	5	2
85	"female"	12	3	7	2	3	3	1	1
85	"female"	14	3	7	2	3	2	2	1
85	"female"	15	2	6	1	5	3	3	2
85	"female"	16	1	7	2	6	4	5	1
85	"female"	17	1	5	1	4	2	7	3
85	"female"	20	2	6	1	3	3	3	3
85	"female"	21	2	7	1	4	3	3	1
85	"female"	22	1	6	1	3	3	5	2
85	"female"	23	1	6	2	4	3	4	3
85	"female"	24	1	7	1	4	3	5	2
85	"female"	26	2	5	1	4	4	5	2
85	"female"	28	2	6	1	5	2	3	3
85	"female"	29	2	7	2	4	3	4	1
85	"female"	31	2	7	2	4	3	4	2
85	"female"	32	3	7	3	3	1	2	3
85	"female"	33	1	5	1	5	5	4	3
85	"female"	34	2	5	1	4	1	2	2
85	"female"	35	1	6	1	5	4	5	4
85	"female"	37	2	7	1	3	3	4	2
85	"female"	38	3	7	2	2	1	2	1
85	"female"	39	1	6	1	4	2	4	2
85	"female"	40	2	7	2	6	3	3	3
86	"female"	3	3	7	4	2	1	3	1
86	"female"	4	2	6	1	5	1	5	1
86	"female"	7	2	7	3	4	3	5	1
86	"female"	8	1	5	1	4	3	5	2
86	"female"	9	2	6	4	4	2	4	1
86	"female"	10	1	4	2	6	4	5	1
86	"female"	11	2	7	2	4	2	5	1
86	"female"	12	2	5	2	5	2	5	1
86	"female"	13	1	6	1	6	1	4	1
86	"female"	14	1	5	2	3	1	5	1
86	"female"	15	2	6	2	4	1	5	1
86	"female"	16	3	7	3	4	1	3	1
86	"female"	17	3	7	2	4	2	5	1
86	"female"	18	1	5	2	5	2	3	1
86	"female"	21	1	4	1	7	3	6	2
86	"female"	23	1	5	2	7	2	6	1
86	"female"	24	1	6	3	5	1	4	1
86	"female"	25	3	6	4	4	2	4	1
86	"female"	26	1	4	1	5	3	4	1
86	"female"	28	1	6	2	6	2	5	1
